INTERNAL_PART_#,SHORT_DESC,PROD_CELL_CODE,WORK_CENTER_CODE,DESCRIPTION
0298300100,TBAA RC PWB LH TOP,EL2-SMT,EL2C11,W2612L/PWB S-ASSY/MONT/TOP
7393503200,TBAA RC PWB RH TOP,EL2-SMT,EL2C2,W2612R/PWB S-ASSY/MONT/TOP
7393503200,TBAA RC PWB RH TOP,EL2-SMT,EL2C7,W2612R/PWB S-ASSY/MONT/TOP
7393503200,TBAA RC PWB RH TOP,EL2-SMT,EL1C8,W2612R/PWB S-ASSY/MONT/TOP
7393503200,TBAA RC PWB RH TOP,EL2-SMT,EL2C11,W2612R/PWB S-ASSY/MONT/TOP
8707458700,T3LX A3 FP LED RH,EL2-SMT,EL2C2,CDH0574A/P-SAY S-13980A
8707458700,T3LX A3 FP LED RH,EL2-SMT,EL1C8,CDH0574A/P-SAY S-13980A
7953268100,T3LX A3 FP LED LH,EL2-SMT,EL2C2,CDH0574A/P-SAY S-13979A
7953268100,T3LX A3 FP LED LH,EL2-SMT,EL1C8,CDH0574A/P-SAY S-13979A
6916346700,T3LX A5 FP LED RH,EL2-SMT,EL2C2,CDH0640A/P-SAY S-13982A
6916346700,T3LX A5 FP LED RH,EL2-SMT,EL1C8,CDH0640A/P-SAY S-13982A
3875511000,T3LX A5 FP LED LH,EL2-SMT,EL2C2,CDH0640A/P-SAY S-13981A
3875511000,T3LX A5 FP LED LH,EL2-SMT,EL1C8,CDH0640A/P-SAY S-13981A
5531418702,T2AX HL FP LED LH,EL2-SMT,EL2C2,T2AX/K+/HL/FP LED/PWB S-ASSY-L
5531418702,T2AX HL FP LED LH,EL2-SMT,EL1C8,T2AX/K+/HL/FP LED/PWB S-ASSY-L
4495188602,T2AX HL FP LED RH,EL2-SMT,EL2C2,T2AX/K+/HL/FP LED/PWB S-ASSY-R
4495188602,T2AX HL FP LED RH,EL2-SMT,EL1C8,T2AX/K+/HL/FP LED/PWB S-ASSY-R
8970626201,T2AX FOG LED,EL2-SMT,EL2C2,CDH0634A/P-SAY S-13748D
9144234500,T2AXKAFOGCTRLPWBSASY,EL2-SMT,EL2C10,T2AX/KA/FOG/CTRL/PWB S-ASSY-LH
2210669400,T2AXKAFOGCTRLPWBSASY,EL2-SMT,EL2C10,T2AX/KA/FOG/CTRL/PWB S-ASSY-RH
1779293800,T3LX RC PWB2 LH TOP,EL2-SMT,EL2C6,T3LX/KA/TL/PWB 2/MONT/TOP-LH
1890349000,T3LX RC PWB1 RH TOP,EL2-SMT,EL2C6,T3LX/KA/TL/PWB 1/MONT/TOP-RH
5178463400,T3LX RC PWB2 RH TOP,EL2-SMT,EL2C6,T3LX/KA/TL/PWB 2/MONT/TOP-RH
6510586100,T3LX RC PWB 1 LH TOP,EL2-SMT,EL2C6,T3LX/KA/TL/PWB 1/MONT/TOP-LH
6398606200,T2AX HL CTRL RH TOP,EL2-SMT,EL2C5,T2AX/K+/HL/CTRL/PWB/MONT/TOP-R
6398606200,T2AX HL CTRL RH TOP,EL2-SMT,EL1C8,T2AX/K+/HL/CTRL/PWB/MONT/TOP-R
9316302800,T3LX HL A5 FT RH TOP,EL2-SMT,EL2C5,T3LX/KA5/HL/FT LED/MONT/TOP-RH
5387864400,T3LX HL A3/5 CTL TOP,EL2-SMT,EL2C5,T3LX/KA/HL/CTRL/PWB/MONT/TOP
5387864400,T3LX HL A3/5 CTL TOP,EL2-SMT,EL1C8,T3LX/KA/HL/CTRL/PWB/MONT/TOP
9268106800,T3LX HL A5 SM LH TOP,EL2-SMT,EL2C5,T3LX/KA5/HL/SM LED/MONT/TOP-LH
0448557200,T3LX HL A5 FT LH TOP,EL2-SMT,EL2C5,T3LX/KA5/HL/FT LED/MONT/TOP-LH
3548434500,T3LX HL A5 SM RH TOP,EL2-SMT,EL2C5,T3LX/KA5/HL/SM LED/MONT/TOP-RH
6425706400,T3LX HL A5 CTRL TOP,EL2-SMT,EL2C5,T3LX/KA5/HL/CTL SM/FT/MONT/TOP
8970626202,T2AX FOG LED,EL2-SMT,EL2C2,T2AX/KA/FOG/LED/PWB S-ASSY
8970626202,T2AX FOG LED,EL2-SMT,EL1C8,T2AX/KA/FOG/LED/PWB S-ASSY
8970626202,T2AX FOG LED,EL2-SMT,EL2C12,T2AX/KA/FOG/LED/PWB S-ASSY
2918143800,T2AX FOG CTRL LH TOP,EL2-SMT,EL2C5,T2AX/KA/FOG/CTL/PWB/MONT/TOP-L
2918143800,T2AX FOG CTRL LH TOP,EL2-SMT,EL1C8,T2AX/KA/FOG/CTL/PWB/MONT/TOP-L
7877194100,T2AX FOG CTRL RH TOP,EL2-SMT,EL2C5,T2AX/KA/FOG/CTL/PWB/MONT/TOP-R
7877194100,T2AX FOG CTRL RH TOP,EL2-SMT,EL1C8,T2AX/KA/FOG/CTL/PWB/MONT/TOP-R
5778455500,T2AX HL CTRL LH TOP,EL2-SMT,EL2C5,T2AX/K+/HL/CTRL/PWB/MONT/TOP-L
5778455500,T2AX HL CTRL LH TOP,EL2-SMT,EL1C8,T2AX/K+/HL/CTRL/PWB/MONT/TOP-L
0933928000,TR0Z RC SM RH TOP,EL2-SMT,EL1C8,TR0Z/K+./TL/PWB/MONT/TOP-RH
7279590300,TR0Z RC SM LH TOP,EL2-SMT,EL1C8,TR0Z/K+./TL/PWB/MONT/TOP-LH
1696795500,TR2Z RC RH PWB 2 TOP,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/TOP-R
1696795500,TR2Z RC RH PWB 2 TOP,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/TOP-R
2421999200,TR2ZK+TLPWB2MONTTOPL,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/TOP-L
8333574200,TR0Z RC SM LH BOT,EL2-SMT,EL1C8,TR0Z/K+./TL/PWB/MONT/BOT-LH
2999668700,TR2ZK+TLPWB1MONTTOPL,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(1)/MONT/TOP-L
1225995600,TR0Z RC SM RH BOT,EL2-SMT,EL1C8,TR0Z/K+./TL/PWB/MONT/BOT-RH
2663723600,TR2Z RC RH PWB 2 BOT,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/BOT-R
2663723600,TR2Z RC RH PWB 2 BOT,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/BOT-R
1301268700,TR2ZK+TLPWB2MONTBOTL,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(2)/MONT/BOT-L
3239172900,TR2ZK+TLPWB1MONTBOTL,EL2-SMT,EL1C8,TR2Z/K+/TL/PWB(1)/MONT/BOT-L
7460686500,T2AA CHM PWB TOP,EL2-SMT,EL2C2,T2AA/KA./CHM/PWB/MONT/TOP
7460686500,T2AA CHM PWB TOP,EL2-SMT,EL2C4,T2AA/KA./CHM/PWB/MONT/TOP
7460686500,T2AA CHM PWB TOP,EL2-SMT,EL2C7,T2AA/KA./CHM/PWB/MONT/TOP
9828626801,THRA HL CTRL,EL2-SMT,EL2C5,CDH0659A/P-SAY S-13963B
4286221500,TZ3X CPU D0E4W BOT,EL2-SMT,EL2C6,CDH0689F/PWB-ASSY/INMOB
7808516900,TZ3X CPU D0E4W TOP,EL2-SMT,EL2C6,CDH0689F/PWB-ASSY/INMOA
2833361700,TZ3X CPU D0DD5 BOT,EL2-SMT,EL2C6,CDH0689A/PWB-ASSY/INMOB
3133441100,TZ3X CPU D0DD5 TOP,EL2-SMT,EL2C6,CDH0689A/PWB-ASSY/INMOA
5387864401,T3LX HL A3/5 CTL TOP,EL2-SMT,EL2C5,T3LX/KA/HL/CTRL/PWB/MONT/TOP
3849312400,T3LX HL A6/7 CTL TOP,EL2-SMT,EL2C5,T3LX/KA6+/HL/CTRL/PWB/MONT/TOP
3849312400,T3LX HL A6/7 CTL TOP,EL2-SMT,EL1C8,T3LX/KA6+/HL/CTRL/PWB/MONT/TOP
8953359700,TLAA RC LED TOP LH,EL2-SMT,EL2C10,TLAA/KA/TL/LED KIT/MONT/TOP-LH
8150129700,TLAA RC LED TOP RH,EL2-SMT,EL2C9,TLAA/KA/TL/LED KIT/MONT/TOP-RH
7945306400,TLAA RC LED BOT RH,EL2-SMT,EL2C9,TLAA/KA/TL/LED KIT/MONT/BOT-RH
7945306400,TLAA RC LED BOT RH,EL2-SMT,EL2C10,TLAA/KA/TL/LED KIT/MONT/BOT-RH
6471809600,TLAA RC LED BOT LH,EL2-SMT,EL2C9,TLAA/KA/TL/LED KIT/MONT/BOT-LH
6471809600,TLAA RC LED BOT LH,EL2-SMT,EL2C10,TLAA/KA/TL/LED KIT/MONT/BOT-LH
7516248000,TLAA FRT TOP,EL2-SMT,EL2C6,TLAA/KA/FR HS CPU/PWB/MONT/TOP
2348547804,TLAA FRT BOT,EL2-SMT,EL2C6,TLAA/KA/FR HS CPU/PWB/MONT/BOT
9637207800,TLAA RR TOP,EL2-SMT,EL2C6,TLAA/KC/RR HS CPU/PWB/MONT/TOP
0632788504,TLAA RR BOT,EL2-SMT,EL2C6,TLAA/KC/RR HS CPU/PWB/MONT/BOT
